absorb;SPONGE,SLURP,DRAIN,ENSORBI,MITIIA
strike;BLOCK-THIS-OVERHEAD,WAPOW,ATAKO,KERSPLAT,ROOSEVELT,PELIDAE,THWACK
stun;PARALIZI,DOVA,FLASHBANG,WHAZZAT,YOWZA,CHUCKLENUTS
summon;SHOUKAN,FETCH,SUSAUKIMAS,HEED,NGUNDANG,TAGHAIRM,COMERE
teleport;SHUNKAN-IDOU,WARPZONE,HERE-THERE,COCHRANE,BOP-BAM-BOOM,SALTO,BLUE-SKADOO
transform;DITTO,WILDCARD,FUNGE,DOPPLE,METAMORPHO,MORBIN,MUTE,ALIFORMI,CHEMOS,KAERU
travel;EXPEDIUS,TRIPLE-A,PASSPORT,HERMES,YUKUE,VOYAJO,ODYSSEY
trick;GOTCHA,BAZOOPLE,HACHACHA,WOKKA-WOKKA,JOKER,ITAZURA,SUSSUS,LIGMA,HAVEA,CANDICE
viking;EINHERJAR,BIFROST,ASGARD,VALHALLA,YGGDRASIL,BLUETOOTH
water;SPLISH-SPLASH,BATH,NILE,AKVO,CULLIGAN,THAMES,DANUBE,YANGTZE,GULF,EUPHRATES
weather;WINDCHILL,GULFSTREAM,VETERO,BARO,OVERCAST,ADVECTION,CORIOLIS,CUMULUS,KATABATIC,THUNDERHEAD
wind;GALEFORCE,UPDRAFT,KAZE,SQUALL,WESTERLIES,VENTO
wither;ERODE,SAP,VELKI,PUTRA,DESICCATE,YES-DEAR
